Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
47270,498.0,39.5,59250.0,24630.0,31.0,6.224899598393574
47408,25723.0,23.2,31412.0,21920.0,9049.0,35.17863390739805
47421,27370.0,44.1,49613.0,26079.0,3244.0,11.85239313116551
47441,9421.0,43.2,47083.0,24061.0,1433.0,15.210699501114531
47448,7016.0,54.5,54023.0,33034.0,683.0,9.734891676168758
47453,770.0,38.0,46711.0,23498.0,81.0,10.519480519480519
47454,7470.0,40.7,39827.0,21851.0,1498.0,20.053547523427042
47519,930.0,34.5,97317.0,30001.0,12.0,1.2903225806451613
47524,459.0,50.1,58382.0,43611.0,76.0,16.55773420479303
47558,4692.0,26.3,60456.0,20978.0,543.0,11.572890025575447
47272,2136.0,36.7,47969.0,22143.0,429.0,20.084269662921347
47282,339.0,45.4,34732.0,27471.0,57.0,16.8141592920354
47331,22508.0,42.5,42741.0,23618.0,4184.0,18.588946152479117
47386,1176.0,49.8,63359.0,27755.0,36.0,3.061224489795918
47353,5553.0,43.3,49161.0,24221.0,477.0,8.589951377633712
47634,2293.0,33.4,52153.0,22397.0,340.0,14.827736589620585
47003,937.0,46.8,35221.0,19334.0,123.0,13.12700106723586
47022,3169.0,45.6,68964.0,31279.0,379.0,11.959608709372041
47030,2175.0,35.8,67386.0,29131.0,100.0,4.597701149425287
47032,3208.0,38.8,59512.0,28452.0,211.0,6.577306733167083
47038,1699.0,37.5,46693.0,17934.0,416.0,24.484991171277223
47114,295.0,25.4,51484.0,20613.0,36.0,12.203389830508474
47564,1186.0,52.7,53667.0,30682.0,68.0,5.733558178752108
47577,1297.0,43.9,67250.0,29786.0,48.0,3.700848111025443
47585,749.0,23.3,53966.0,18186.0,214.0,28.571428571428573
47597,843.0,42.0,54375.0,26705.0,87.0,10.320284697508896
47649,1519.0,46.5,59620.0,26768.0,162.0,10.664911125740618
47714,34250.0,34.2,38605.0,21298.0,8169.0,23.85109489051095
47715,26340.0,39.9,45304.0,32952.0,2916.0,11.070615034168565
47804,11595.0,36.4,34970.0,18971.0,3122.0,26.92539887882708
47838,3585.0,39.7,51667.0,14365.0,300.0,8.368200836820083
47842,9612.0,42.7,46192.0,24670.0,1409.0,14.658759883478984
47876,354.0,51.3,-666666666.0,7416.0,74.0,20.903954802259886
47909,42532.0,33.6,57634.0,28323.0,4793.0,11.269162042697264
47922,1631.0,38.4,44402.0,21108.0,275.0,16.860821581851624
47924,150.0,49.4,78475.0,36747.0,0.0,0.0
47928,2129.0,44.2,53854.0,24656.0,372.0,17.47299201503053
47941,1383.0,39.5,53018.0,27448.0,205.0,14.822848879248012
47943,1065.0,28.4,67955.0,19891.0,48.0,4.507042253521127
47946,2113.0,51.2,61306.0,28825.0,136.0,6.436346426881212
47948,1488.0,37.6,45000.0,20319.0,333.0,22.379032258064516
47949,1247.0,42.1,52794.0,24865.0,91.0,7.297514033680834
47957,1954.0,35.6,49063.0,20598.0,295.0,15.097236438075742
47018,4348.0,38.5,65438.0,25699.0,481.0,11.062557497700093
