,NAME,ADDRESS,CITY,STATE,ZIP,LEVEL,ENROLLMENT,START_GRADE,END_GRADE,DISTRICT_ID
907,LEO JUNIOR/SENIOR HIGH SCHOOL,14600 AMSTUTZ RD,LEO,IN,46765,3,1335,07,12,1802850
908,SOUTHERN WELLS JR-SR HIGH SCH,9120 S 300 W,PONETO,IN,46781,3,415,07,12,1810770
909,BOULEVARD ELEMENTARY SCHOOL,1901 W BLVD,KOKOMO,IN,46902,1,352,PK,05,1805370
910,MARSHALL INTERMEDIATE CENTER,1433 BYRON DR,SOUTH BEND,IN,46614,2,442,05,08,1810290
911,SNACKS CROSSING ELEM SCH,5455 W 56TH ST,INDIANAPOLIS,IN,46254,1,644,PK,05,1808910
912,KINGSFORD HEIGHTS ELEM SCH,460 EVANSTON RD,KINGSFORD HEIGHTS,IN,46346,1,268,PK,05,1805580
913,SWEETSER ELEMENTARY SCHOOL,614 N MAIN ST,SWEETSER,IN,46987,1,240,03,04,1808340
914,CONNERSVILLE MIDDLE SCHOOL,1900 GRAND AVE,CONNERSVILLE,IN,47331,2,632,07,08,1803510
915,SPEEDWAY SENIOR HIGH SCHOOL,5357 W 25TH ST,SPEEDWAY,IN,46224,3,463,09,12,1810920
916,SOUTH WHITLEY ELEMENTARY SCH,406 W WAYNE ST,SOUTH WHITLEY,IN,46787,1,313,PK,05,1813230
917,MARENGO ELEMENTARY SCHOOL,177 S 2ND ST,MARENGO,IN,47140,1,196,PK,06,1802440
918,COESSE SCHOOL,2250 S 500 E,COLUMBIA CITY,IN,46725,1,303,KG,05,1802280
919,BRENTWOOD ELEMENTARY SCHOOL,3710 STAFFORD DR,FORT WAYNE,IN,46805,1,502,PK,05,1803630
920,CASTLE HIGH SCHOOL,3344 HWY 261,NEWBURGH,IN,47630,3,1940,09,12,1812390
921,SULLIVAN MIDDLE SCHOOL,415 W FRAKES ST,SULLIVAN,IN,47882,2,336,06,08,1810860
922,ROBEY ELEMENTARY SCHOOL,8700 W 30TH,INDIANAPOLIS,IN,46234,1,865,KG,06,1812810
923,HELEN GRIFFITH ELEMENTARY SCHOOL,803 E NATIONAL HWY,WASHINGTON,IN,47501,1,443,KG,06,1812450
924,CENTRAL ELEMENTARY SCHOOL,2825 RUSSELL ST,PORTAGE,IN,46368,1,524,KG,05,1809150
925,RONALD K BELL EAST MIDDLE SCHOOL,1459 E COLUMBUS ST,MARTINSVILLE,IN,46151,2,632,06,08,1806510
926,MILLTOWN SCHOOL,518 SPEED RD,MILLTOWN,IN,47145,1,205,PK,06,1802440
927,WESTVIEW ELEMENTARY SCHOOL,709 W 6TH ST,JONESBORO,IN,46938,1,383,PK,01,1806870
928,PARAGON ELEMENTARY SCHOOL,520 OLD SR 67,PARAGON,IN,46166,1,290,KG,05,1806510
929,MEADOWLAWN ELEMENTARY SCHOOL,715 W OHIO ST,MONTICELLO,IN,47960,1,492,KG,05,1811580
930,BATESVILLE INTERMEDIATE SCHOOL,707 W COLUMBUS AVE,BATESVILLE,IN,47006,1,465,03,05,1800390
931,WAWASEE MIDDLE SCHOOL,9850 N SR 13,SYRACUSE,IN,46567,2,519,06,08,1805550
932,KESLING MIDDLE SCHOOL,306 E 18TH ST,LAPORTE,IN,46350,2,756,06,08,1805580
933,GREATER LAFAYETTE AREA SE,2300 CASON ST,LAFAYETTE,IN,47904,1,250,PK,PK,1805400
934,DOUGLAS MACARTHUR ELEM SCH,12900 FAIRBANKS,CEDAR LAKE,IN,46303,1,476,KG,05,1802490
935,SOUTH DEARBORN MIDDLE SCH,5850 SQUIRE PL,AURORA,IN,47001,2,420,07,08,1800240
936,CONCORD SOUTH SIDE ELEM SCHOOL,23702 ARLENE AVE,ELKHART,IN,46517,1,434,KG,04,1802400
937,AMELIA EARHART ELEM SCH,3280 S 9TH ST,LAFAYETTE,IN,47909,1,501,KG,04,1805400
938,FREMONT ELEMENTARY SCHOOL,501 W TOLEDO ST,FREMONT,IN,46737,1,361,KG,04,1803780
939,SHENANDOAH HIGH SCHOOL,7354 W US 36,MIDDLETOWN,IN,47356,3,385,09,12,1808280
940,WASHINGTON TWP MIDDLE/HIGH SCHOOL,381 E SR 2,VALPARAISO,IN,46383,4,452,06,12,1809000
941,NORTH NEWTON JR-SR HIGH SCH,1641 W 250 N,MOROCCO,IN,47963,3,682,07,12,1807920
942,MEREDITH NICHOLSON SCHOOL 96,3651 N KIEL AVE,INDIANAPOLIS,IN,46224,1,484,KG,06,1804770
943,WINFIELD ELEMENTARY SCHOOL,13128 MONTGOMERY ST,CROWN POINT,IN,46307,1,466,KG,02,1802490
944,SOUTHWESTERN HIGH SCHOOL,3406 W 600 S,SHELBYVILLE,IN,46176,3,317,07,12,1810830
945,PERRY HILL ELEMENTARY SCHOOL,13121 COLDWATER RD,FORT WAYNE,IN,46845,1,485,KG,05,1808250
946,COLUMBIA ELEMENTARY SCHOOL,20 E COLUMBIA ST,LOGANSPORT,IN,46947,1,452,KG,05,1806030
947,SOUTH RIPLEY JUNIOR HIGH SCHOOL,1589 S BENHAM RD,VERSAILLES,IN,47042,2,195,07,08,1810530
948,CROTHERSVILLE ELEMENTARY SCH,109 S PRESTON ST,CROTHERSVILLE,IN,47229,1,280,PK,05,1812060
949,SE NEIGHBORHOOD SCH OF EXCELLENCE,1601 S BARTH AVE,INDIANAPOLIS,IN,46203,1,483,KG,08,1800033
